timestamp,coin,price_usd,change_24h,threshold,status
2026-05-21 13:26:24,bitcoin,77734,0.7,5.0,OK
2026-05-21 13:26:24,ethereum,2132.51,0.23,7.0,OK
2026-05-21 13:26:24,solana,86.56,2.23,10.0,OK
2026-05-21 13:26:31,bitcoin,77734,0.7,5.0,OK
2026-05-21 13:26:31,ethereum,2132.51,0.23,7.0,OK
2026-05-21 13:26:31,solana,86.56,2.23,10.0,OK
2026-05-21 13:26:54,bitcoin,77734,0.7,5.0,OK
2026-05-21 13:26:54,ethereum,2132.51,0.23,7.0,OK
2026-05-21 13:26:54,solana,86.56,2.23,10.0,OK
2026-05-21 13:27:55,bitcoin,77742,0.7,5.0,OK
2026-05-21 13:27:55,ethereum,2132.76,0.24,7.0,OK
2026-05-21 13:27:55,solana,86.56,2.23,10.0,OK
2026-05-21 13:28:56,bitcoin,77790,0.77,5.0,OK
2026-05-21 13:28:56,ethereum,2133.95,0.3,7.0,OK
2026-05-21 13:28:56,solana,86.58,2.25,10.0,OK
2026-05-21 13:29:57,bitcoin,77802,0.78,5.0,OK
2026-05-21 13:29:57,ethereum,2133.9,0.3,7.0,OK
2026-05-21 13:29:57,solana,86.61,2.29,10.0,OK
